Population,Row,Cross,PlantNo,,,,,
Oil Mapping Pop 202,N18-1942,MX15-6,462,,,,,
Oil Mapping Pop 202,N18-1943,MX15-6,463,,,,,
Oil Mapping Pop 202,N18-1944,MX15-6,464,,,,,
Oil Mapping Pop 202,N18-1945,MX15-6,465,,,,,
Oil Mapping Pop 202,N18-1946,MX15-6,466,,,,,
Oil Mapping Pop 202,N18-1947,MX15-6,467,,,,,
Oil Mapping Pop 202,N18-1948,MX15-6,468,,,,,
Oil Mapping Pop 202,N18-1949,MX15-6,469,,,,,
Oil Mapping Pop 202,N18-1950,MX15-6,470,,,,,
Oil Mapping Pop 202,N18-1951,MX15-6,471,,,,,
Oil Mapping Pop 202,N18-1952,MX15-6,473,,,,,
Oil Mapping Pop 202,N18-1953,MX15-6,475,,,,,
Oil Mapping Pop 202,N18-1954,MX15-6,476,,,,,
Oil Mapping Pop 202,N18-1955,MX15-6,478,,,,,
Oil Mapping Pop 202,N18-1956,MX15-6,479,,,,,
Oil Mapping Pop 202,N18-1957,MX15-6,480,,,,,
Oil Mapping Pop 202,N18-1958,MX15-6,481,,,,,
Oil Mapping Pop 202,N18-1959,MX15-6,484,,,,,
Oil Mapping Pop 202,N18-1960,MX15-6,486,,,,,
Oil Mapping Pop 202,N18-1961,MX15-6,487,,,,,
Oil Mapping Pop 202,N18-1962,MX15-6,489,,,,,
Oil Mapping Pop 202,N18-1963,MX15-6,490,,,,,
Oil Mapping Pop 202,N18-1964,MX15-6,492,,,,,
Oil Mapping Pop 202,N18-1965,MX15-6,493,,,,,
Oil Mapping Pop 202,N18-1966,MX15-6,494,,,,,
Oil Mapping Pop 202,N18-1967,MX15-6,495,,,,,
Oil Mapping Pop 202,N18-1968,MX15-6,496,,,,,
Oil Mapping Pop 202,N18-1969,MX15-6,497,,,,,
Oil Mapping Pop 202,N18-1970,MX15-6,498,,,,,
Oil Mapping Pop 202,N18-1971,MX15-6,500,,,,,
Oil Mapping Pop 202,N18-1972,MX15-6,501,,,,,
Oil Mapping Pop 202,N18-1973,MX15-6,502,,,,,
Oil Mapping Pop 202,N18-1974,MX15-6,503,,,,,
Oil Mapping Pop 202,N18-1975,MX15-6,504,,,,,
Oil Mapping Pop 202,N18-1976,MX15-6,506,,,,,
Oil Mapping Pop 202,N18-1977,MX15-6,508,,,,,
Oil Mapping Pop 202,N18-1978,MX15-6,509,,,,,
Oil Mapping Pop 202,N18-1979,MX15-6,510,,,,,
Oil Mapping Pop 202,N18-1980,MX15-6,513,,,,,
Oil Mapping Pop 202,N18-1981,MX15-6,514,,,,,
Oil Mapping Pop 202,N18-1982,MX15-6,515,,,,,
Oil Mapping Pop 202,N18-1983,MX15-6,516,,,,,
Oil Mapping Pop 202,N18-1984,MX15-6,518,,,,,
Oil Mapping Pop 202,N18-1985,MX15-6,519,,,,,
Oil Mapping Pop 202,N18-1986,MX15-6,520,,,,,
Oil Mapping Pop 202,N18-1987,MX15-6,522,,,,,
Oil Mapping Pop 202,N18-1988,MX15-6,524,,,,,
Oil Mapping Pop 202,N18-1989,MX15-6,525,,,,,
Oil Mapping Pop 202,N18-1990,MX15-6,526,,,,,
Oil Mapping Pop 202,N18-1991,MX15-6,527,,,,,
Oil Mapping Pop 202,N18-1992,MX15-6,531,,,,,
Oil Mapping Pop 202,N18-1993,MX15-6,533,,,,,
Oil Mapping Pop 202,N18-1994,MX15-6,535,,,,,
Oil Mapping Pop 202,N18-1995,MX15-6,537,,,,,
Oil Mapping Pop 202,N18-1996,MX15-6,538,,,,,
Oil Mapping Pop 202,N18-1997,MX15-6,539,,,,,
Oil Mapping Pop 202,N18-1998,MX15-6,540,,,,,
Oil Mapping Pop 202,N18-1999,MX15-6,542,,,,,
Oil Mapping Pop 202,N18-2000,MX15-6,544,,,,,
Oil Mapping Pop 202,N18-2001,MX15-6,545,,,,,
Oil Mapping Pop 202,N18-2002,MX15-6,546,,,,,
Oil Mapping Pop 202,N18-2003,MX15-6,547,,,,,
Oil Mapping Pop 202,N18-2004,MX15-6,548,,,,,
Oil Mapping Pop 202,N18-2005,MX15-6,549,,,,,
Oil Mapping Pop 202,N18-2006,MX15-6,550,,,,,
Oil Mapping Pop 202,N18-2007,MX15-6,551,,,,,
Oil Mapping Pop 202,N18-2008,MX15-6,553,,,,,
Oil Mapping Pop 202,N18-2009,MX15-6,554,,,,,
Oil Mapping Pop 202,N18-2010,MX15-6,556,,,,,
Oil Mapping Pop 202,N18-2011,MX15-6,557,,,,,
Oil Mapping Pop 202,N18-2012,MX15-6,558,,,,,
Oil Mapping Pop 202,N18-2013,MX15-6,561,,,,,
Oil Mapping Pop 202,N18-2014,MX15-6,562,,,,,
Oil Mapping Pop 202,N18-2015,MX15-6,563,,,,,
Oil Mapping Pop 202,LMN09-19,LMN09-19,LMN09-19,,,,,
Oil Mapping Pop 202,N13-47,N13-47,N13-47,,,,,
