Population,Row,Cross,PlantNo,,,,,
Oil Mapping Pop 201,N18-1608,MX15-1,56,,,,,
Oil Mapping Pop 201,N18-1609,MX15-1,57,,,,,
Oil Mapping Pop 201,N18-1610,MX15-1,58,,,,,
Oil Mapping Pop 201,N18-1611,MX15-1,60,,,,,
Oil Mapping Pop 201,N18-1612,MX15-1,61,,,,,
Oil Mapping Pop 201,N18-1613,MX15-1,62,,,,,
Oil Mapping Pop 201,N18-1614,MX15-1,63,,,,,
Oil Mapping Pop 201,N18-1615,MX15-1,64,,,,,
Oil Mapping Pop 201,N18-1616,MX15-1,65,,,,,
Oil Mapping Pop 201,N18-1617,MX15-1,66,,,,,
Oil Mapping Pop 201,N18-1618,MX15-1,67,,,,,
Oil Mapping Pop 201,N18-1619,MX15-1,68,,,,,
Oil Mapping Pop 201,N18-1620,MX15-1,69,,,,,
Oil Mapping Pop 201,N18-1621,MX15-1,70,,,,,
Oil Mapping Pop 201,N18-1622,MX15-1,71,,,,,
Oil Mapping Pop 201,N18-1623,MX15-1,72,,,,,
Oil Mapping Pop 201,N18-1624,MX15-1,73,,,,,
Oil Mapping Pop 201,N18-1625,MX15-1,74,,,,,
Oil Mapping Pop 201,N18-1626,MX15-1,75,,,,,
Oil Mapping Pop 201,N18-1627,MX15-1,76,,,,,
Oil Mapping Pop 201,N18-1628,MX15-1,77,,,,,
Oil Mapping Pop 201,N18-1629,MX15-1,78,,,,,
Oil Mapping Pop 201,N18-1630,MX15-1,80,,,,,
Oil Mapping Pop 201,N18-1631,MX15-1,81,,,,,
Oil Mapping Pop 201,N18-1632,MX15-1,82,,,,,
Oil Mapping Pop 201,N18-1633,MX15-1,83,,,,,
Oil Mapping Pop 201,N18-1634,MX15-1,84,,,,,
Oil Mapping Pop 201,N18-1635,MX15-1,85,,,,,
Oil Mapping Pop 201,N18-1636,MX15-1,86,,,,,
Oil Mapping Pop 201,N18-1637,MX15-1,87,,,,,
Oil Mapping Pop 201,N18-1638,MX15-1,88,,,,,
Oil Mapping Pop 201,N18-1639,MX15-1,89,,,,,
Oil Mapping Pop 201,N18-1640,MX15-1,90,,,,,
Oil Mapping Pop 201,N18-1641,MX15-1,91,,,,,
Oil Mapping Pop 201,N18-1642,MX15-1,92,,,,,
Oil Mapping Pop 201,N18-1643,MX15-1,93,,,,,
Oil Mapping Pop 201,N18-1644,MX15-1,94,,,,,
Oil Mapping Pop 201,N18-1645,MX15-1,95,,,,,
Oil Mapping Pop 201,N18-1646,MX15-1,96,,,,,
Oil Mapping Pop 201,N18-1647,MX15-1,97,,,,,
Oil Mapping Pop 201,N18-1648,MX15-1,98,,,,,
Oil Mapping Pop 201,N18-1649,MX15-1,99,,,,,
Oil Mapping Pop 201,N18-1650,MX15-1,100,,,,,
Oil Mapping Pop 201,N18-1651,MX15-1,102,,,,,
Oil Mapping Pop 201,N18-1652,MX15-1,103,,,,,
Oil Mapping Pop 201,N18-1653,MX15-1,105,,,,,
Oil Mapping Pop 201,N18-1654,MX15-1,106,,,,,
Oil Mapping Pop 201,N18-1655,MX15-1,107,,,,,
Oil Mapping Pop 201,N18-1656,MX15-1,109,,,,,
Oil Mapping Pop 201,N18-1657,MX15-1,110,,,,,
Oil Mapping Pop 201,N18-1658,MX15-1,111,,,,,
Oil Mapping Pop 201,N18-1659,MX15-1,112,,,,,
Oil Mapping Pop 201,N18-1660,MX15-1,113,,,,,
Oil Mapping Pop 201,N18-1661,MX15-1,114,,,,,
Oil Mapping Pop 201,N18-1662,MX15-1,115,,,,,
Oil Mapping Pop 201,N18-1663,MX15-1,116,,,,,
Oil Mapping Pop 201,N18-1664,MX15-1,117,,,,,
Oil Mapping Pop 201,N18-1665,MX15-1,118,,,,,
Oil Mapping Pop 201,N18-1666,MX15-1,119,,,,,
Oil Mapping Pop 201,N18-1667,MX15-1,120,,,,,
Oil Mapping Pop 201,N18-1668,MX15-1,124,,,,,
Oil Mapping Pop 201,N18-1669,MX15-1,125,,,,,
Oil Mapping Pop 201,N18-1670,MX15-1,126,,,,,
Oil Mapping Pop 201,N18-1671,MX15-1,127,,,,,
Oil Mapping Pop 201,N18-1672,MX15-1,128,,,,,
Oil Mapping Pop 201,N18-1673,MX15-1,129,,,,,
Oil Mapping Pop 201,N18-1674,MX15-1,130,,,,,
Oil Mapping Pop 201,N18-1675,MX15-1,131,,,,,
Oil Mapping Pop 201,N18-1676,MX15-1,133,,,,,
Oil Mapping Pop 201,N18-1677,MX15-1,135,,,,,
Oil Mapping Pop 201,N18-1678,MX15-1,137,,,,,
Oil Mapping Pop 201,N18-1679,MX15-1,138,,,,,
