Column1,Column2,Column3
PI ,Common Name (from GRIN),
PI89006-2,5951,
PI89006,5951,
PI89007,5952,
PI89008,5953,
PI89009-2,5954,
PI89009,5954,
PI89010,5955,
PI89012-1,5957,
PI89012,5957,
PI89013,5958,
PI89014,5959,
PI89055-1,6051,
PI89055,6051,
PI89063,6052,
PI89061-3,6053,
PI89061-2,6053,
PI89061-1,6053,
PI89061N,6053,
PI89061,6053,
PI89058,6054,
PI89064,6055,
PI89066,6058,
PI89072,6059,
PI89075,6060,
PI89074,6061,
PI89057,6062,
PI89059,6063,
PI89056-3,6065,
PI89056-2,6065,
PI89073,6066,
PI89067,6067,
PI89070,6067,
PI89053,6069,
PI89060,6070,
PI89065-2,6073,
PI89065,6073,
PI89167,6155,
PI89168,6156,
PI89170,6157,
PI89171,6158,
PI632699,6245,
PI68748-1,6343,
PI90251,6345,
PI90256,6364,
PI90258,6371,
PI90560,6470,
PI90563,6473,
PI90566-1,6476,
PI90566,6476,
PI90567-1,6477,
PI90567,6477,
PI90570,6480,
PI90573,6483,
PI90574,6484,
PI90575,6485,
PI90576-2,6486,
PI90576-1,6486,
PI90577,6487,
PI90578,6488,
PI90579,6489,
PI91089,6543,
PI91091,6545,
PI91100-4,6554,
PI91100-3,6554,
PI91100-2,6554,
PI91100-1,6554,
PI91100,6554,
PI91102,6556,
PI91103,6557,
PI91104,6558,
PI91107,6562,
PI91108-2,6563,
PI91108-1,6563,
PI91108N,6563,
PI91109,6564,
PI91110-1,6565,
PI91110,6565,
PI91113,6568,
PI91114,6569,
PI91115,6570,
PI91116,6571,
PI91117,6572,
PI91119,6574,
PI91120-3,6575,
PI91120-2,6575,
PI91120,6575,
PI91121-2,6576,
PI91121-1,6576,
PI91123,6578,
PI91124,6579,
PI91126,6581,
PI91127,6582,
PI91129,6584,
PI91132-3,6587,
PI91132-2,6587,
PI91133,6588,
PI91138,6593,
PI91141,6596,
PI91142,6597,
PI91144,6599,
PI91149,6604,
PI91150,6605,
PI91151,6606,
PI91152,6607,
PI91153-7,6608,
PI91153-1,6608,
PI91153,6608,
PI91154,6609,
PI91156,6611,
PI91159-4,6614,
PI91159,6614,
PI91159S,6614,
PI91160,6615,
PI91161,6616,
PI91162,6617,
PI91163,6618,
PI91164,6619,
PI91165,6620,
PI91166,6621,
PI91167,6622,
PI91169,6624,
PI91171,6626,
PI91174,6629,
PI91178-1,6633,
PI91178,6633,
PI91180,6635,
PI91557,6653,
PI91559,6655,
PI556847,6727,
PI556848,6738,
PI69991,6782,
PI69992,6790,
PI69993,6794,
PI69995,6802,
PI69996,6806,
PI70001,6835,
PI556862,6847,
PI70009,6866,
PI70076,6892,
PI70077,6896,
PI70078,6900,
PI70080,6908,
PI70013,6916,
PI70014,6920,
PI556902,6925,
PI93055,6937,
PI93055S,6937,
PI69500,6942,
PI69501,6946,
PI69503,6954,
PI556903,6955,
PI69507-1,6974,
PI69507,6974,
PI556904,6995,
PI69512,6996,
PI69515,7008,
PI69533,7087,
PI70016,7096,
PI70017,7104,
PI70019,7112,
PI70021,7120,
PI70023,7128,
PI70027,7145,
PI70084,7172,
PI89769,7190,
PI70087,7192,
PI89772,7193,
PI70089,7202,
PI89773,7204,
PI70091,7218,
PI89775,7221,
PI70036,7238,
PI70453,7281,
PI70456,7293,
PI70457,7297,
PI70458,7301,
PI70459,7305,
PI89783,7308,
PI70460,7309,
PI89784,7309,
PI70461,7313,
PI70462,7317,
PI70463,7321,
PI70466-4,7336,
PI70466-3,7336,
PI70467,7340,
PI70469-1,7348,
PI70469,7348,
PI70470,7352,
PI90392,7352,
PI70471,7356,
PI70473-1,7364,
PI70473,7364,
PI70476,7375,
PI90369,7375,
PI90401,7381,
PI70478,7383,
PI90402,7385,
PI90406-1,7401,
PI90406,7401,
PI90407,7402,
PI90760,7411,
PI90479-1,7413,
PI90479P,7413,
PI90481,7415,
PI70188,7488,
PI70189,7492,
PI611112,7499,
PI70192,7505,
PI90463,7515,
PI70197,7532,
PI90486,7533,
PI70199,7540,
PI90490-2,7542,
PI90490,7542,
PI90495N,7547,
PI90495,7547,
PI70201,7548,
PI70202,7557,
PI90763,7570,
PI70208,7580,
PI90768,7582,
PI70212,7596,
PI91340,7599,
PI70213,7600,
PI592942,7605,
PI91341,7607,
PI91343,7609,
PI91346,7618,
PI91349,7621,
PI92557,7752,
PI92560,7755,
PI92561,7756,
PI92563,7758,
PI92565,7760,
